model_name,graph_layers,graph_hidden_channels,graph_norm,activation,heads,aggr,residual,use_edge_features,learning_rate,weight_decay,dropout,K,dataset,val_rmse,val_log_rmse,val_spearman,test_rmse,test_log_rmse,test_spearman,val_mae,test_mae,val_r2,test_r2,epochs_trained,train_time_s,seed,success
SGC,2,256,BatchNorm,relu,1,mean,True,True,0.001,1e-05,0.1,2.0,Half_Life_Obach,105.91465000620782,1.2397309769060874,0.48686284987472306,19.89686926363393,0.8400431986508516,0.5223314548126948,26.430877685546875,7.3964056968688965,-0.018891432956678278,0.15921082940572517,13,30.28,42,True
SAGE,2,128,BatchNorm,gelu,1,mean,True,False,0.0005,0.0001,0.1,,Half_Life_Obach,106.60978148281,1.20085614972954,0.5598922773559315,19.85017351127527,0.8687490524047498,0.48216496412098925,25.531049728393555,7.613959312438965,-0.03230955251824552,0.1631526768824514,6,17.62,42,True
SGC,3,256,BatchNorm,relu,1,add,True,True,0.001,1e-05,0.1,3.0,Half_Life_Obach,105.92823982388974,1.1904840955025495,0.5237951132292851,17.392470982439498,0.9538110984722384,0.4415082217515432,25.64485740661621,8.252137184143066,-0.01915291589846424,0.35754873060170833,11,44.42,42,True
GIN,4,256,BatchNorm,gelu,1,mean,True,False,0.001,1e-05,0.2,,Half_Life_Obach,107.20246797823732,1.2542154471348685,0.5148386740098916,21.205870279858168,0.8882450484138104,0.5132337495491496,26.034042358398438,8.382384300231934,-0.043819502973082125,0.04494184449529226,39,85.06,42,True
SGC,4,128,BatchNorm,relu,1,add,True,True,0.001,0.0001,0.2,3.0,Half_Life_Obach,105.70377979287211,1.159198231665169,0.5340668337326455,20.662770960347153,0.9208560230787121,0.5252680867529919,25.622879028320312,9.056436538696289,-0.01483835866057559,0.09323501766760378,29,68.99,42,True
TAG,3,128,BatchNorm,gelu,1,mean,True,False,0.001,0.0001,0.1,,Half_Life_Obach,102.69248789620642,1.1013357560061536,0.5252565368781371,19.31682688811469,0.8982778713468395,0.4487741906470126,25.587242126464844,7.947037696838379,0.04215951204515689,0.2075183912481644,4,35.87,42,True
SAGE,3,256,BatchNorm,gelu,1,mean,True,True,0.001,1e-05,0.2,,Half_Life_Obach,106.18422136639464,1.2598769944561774,0.47216510346341073,18.707928059131106,0.8705768341076533,0.4977042349612161,26.14296531677246,7.555887222290039,-0.024084548043410203,0.2566916714099604,8,34.09,42,True
SAGE,2,256,BatchNorm,gelu,1,add,True,False,0.001,1e-05,0.1,,Half_Life_Obach,107.00323082155043,1.2492098452674079,0.5380961875073377,20.119967951057042,0.8755551886098452,0.494267595090885,26.245742797851562,7.919751167297363,-0.03994320462778678,0.14024999731022791,13,31.94,42,True
SAGE,4,256,BatchNorm,gelu,1,add,True,True,0.001,1e-05,0.1,,Half_Life_Obach,105.31674694700743,1.1474595278728428,0.4963829810729595,17.29306801628952,0.8381756459982769,0.5573881083657604,25.448577880859375,7.412924289703369,-0.007420332409746155,0.3648713322340057,6,45.45,42,True
GIN,2,128,BatchNorm,gelu,1,mean,True,False,0.0005,1e-05,0.2,,Half_Life_Obach,106.05333361244473,1.1743359984883122,0.5135442702066226,19.57293208515669,0.9096834274052282,0.40929063761584134,25.9554386138916,8.252680778503418,-0.02156143279169931,0.1863654258145463,7,23.69,42,True
